N,Time
1,0.510093
2,0.472326
3,0.500392
4,0.448889
5,0.457863
6,0.46496
7,0.47082
8,0.458792
9,0.480298
10,0.457758
11,0.451468
12,0.467516
13,0.4689
14,0.465868
15,0.475142
16,0.474819
17,0.486816
18,0.515833
19,0.452052
20,0.474565
