N,Time
1,0.0256607
2,0.0255002
3,0.0315853
4,0.0289315
5,0.0268757
6,0.0253841
7,0.025177
8,0.0259433
9,0.0259917
10,0.0293358
11,0.0257072
12,0.0254267
13,0.0259774
14,0.0262971
15,0.0254379
16,0.024547
17,0.0249312
18,0.0258427
19,0.025286
20,0.0261995
