N,Time
1,0.0130072
2,0.0148391
3,0.0104522
4,0.0140907
5,0.018091
6,0.0176294
7,0.0168514
8,0.012496
9,0.0152115
10,0.0139191
11,0.0136858
12,0.0200871
13,0.0169966
14,0.0140667
15,0.0171509
16,0.0188548
17,0.0139432
18,0.0192557
19,0.0202933
20,0.0142787
