N,Time
1,0.106375
2,0.128556
3,0.107823
4,0.116088
5,0.111875
6,0.113181
7,0.105559
8,0.132689
9,0.1144
10,0.10418
11,0.113526
12,0.113833
13,0.125683
14,0.106081
15,0.112615
16,0.135246
17,0.109905
18,0.125946
19,0.117843
20,0.107712
