N,Time
1,0.0128274
2,0.0107566
3,0.0112866
4,0.0116349
5,0.0110513
6,0.0205634
7,0.00918647
8,0.0131467
9,0.00896302
10,0.00991694
11,0.0124894
12,0.0129818
13,0.0105352
14,0.0117419
15,0.0085564
16,0.0127428
17,0.0100215
18,0.00890609
19,0.00986323
20,0.0124963
