N,Time
1,0.0138945
2,0.0155108
3,0.01283
4,0.0133375
5,0.0137231
6,0.0125909
7,0.0110165
8,0.0147905
9,0.0158135
10,0.0215636
11,0.0108235
12,0.018181
13,0.0127976
14,0.0144366
15,0.0155541
16,0.029445
17,0.0234895
18,0.0126219
19,0.0160992
20,0.0142139
