N,Time
1,0.039413
2,0.0473419
3,0.0471954
4,0.0541079
5,0.0456317
6,0.050297
7,0.0458182
8,0.0453676
9,0.0352734
10,0.0435942
11,0.0444087
12,0.0476414
13,0.0800287
14,0.0450653
15,0.0552205
16,0.0425487
17,0.040516
18,0.0410983
19,0.0538595
20,0.0514519
