N,Time
1,0.130182
2,0.156763
3,0.13252
4,0.137636
5,0.149702
6,0.206131
7,0.143045
8,0.144968
9,0.15535
10,0.247908
11,0.230994
12,0.346216
13,0.136651
14,0.128207
15,0.170267
16,0.14149
17,0.152333
18,0.141355
19,0.146198
20,0.139423
