N,Time
1,0.0847684
2,0.0887299
3,0.104265
4,0.0884574
5,0.0843983
6,0.112594
7,0.091345
8,0.0883702
9,0.10479
10,0.0872194
11,0.0863582
12,0.101644
13,0.0834319
14,0.0877157
15,0.0860653
16,0.0863744
17,0.0828915
18,0.0882425
19,0.0867433
20,0.10312
