N,Time
1,0.474203
2,0.449069
3,0.463418
4,0.441067
5,0.476956
6,0.454845
7,0.462301
8,0.460416
9,0.503819
10,0.520944
11,0.450813
12,0.47707
13,0.456341
14,0.466271
15,0.453676
16,0.452753
17,0.455808
18,0.443748
19,0.477346
20,0.454525
