N,Time
1,0.15002
2,0.12983
3,0.157743
4,0.121437
5,0.125264
6,0.126555
7,0.152402
8,0.142726
9,0.143746
10,0.145769
11,0.117367
12,0.144352
13,0.148597
14,0.146679
15,0.144452
16,0.139947
17,0.124567
18,0.129063
19,0.161437
20,0.12721
