N,Time
1,0.0504759
2,0.066823
3,0.0725514
4,0.0377883
5,0.0428454
6,0.0602136
7,0.0426512
8,0.0751181
9,0.0591215
10,0.0631201
11,0.056048
12,0.0527196
13,0.0750896
14,0.053575
15,0.0535263
16,0.0565775
17,0.053222
18,0.0627847
19,0.0558575
20,0.0512007
