N,Time
1,0.390592
2,0.40801
3,0.352769
4,0.377124
5,0.425226
6,0.427092
7,0.371528
8,0.407275
9,0.391068
10,0.432178
11,0.369128
12,0.374842
13,0.40482
14,0.415989
15,0.379712
16,0.411176
17,0.39355
18,0.407934
19,0.426099
20,0.41676
